ID,EVENT_NAME,YEAR,DATE,DESCRIPTION,LOCATION_NAME,ADDRESS,LATITUDE,LONGITUDE,SOURCE_NAME,SOURCE_LINK,PEOPLE,TAGS
11,Wally's Paradise Opens,1947,,"1947 - Joseph Walcott opens Wally's Paradise at 428 Mass Ave. As a black Barbadian, Walcott would have a difficult time getting a liquor license if not for Mayor James Michael Curley, a regular passenger in the taxi Walcott drives. Curley helps with incorporation papers, and City Councilor Gabe Piemonte becomes Walcott's attorney.",,"428 Massachusetts Avenue, Boston, MA",42.34098209,71.08196763,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
12,Savoy Cafe opens,1935,,"In 1935, The Savoy Cafe opens at 461 Columbus Ave.",,"461 Columbus Avenue, Boston, MA",42.34355149,71.07841576,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
13,The Hi-Hat Opens,1937,,"The Hi-Hat opens at 572 Columbus Ave., corner of Mass. Ave. - ""one of the most important jazz spots in New England"" [Vacca]. Originally a white supper club with ""white music,"" it gradually changes (as do other clubs in the area) when black jazz becomes more popular [Hayden]. When she was a teenager, one old-timer remembers doormen in ""mourning clothes"" who didn't let blacks in. ""Very few blacks were let in unless they were entertainers.""",,"572 Columbus Avenue, Boston, MA",42.340921,71.08140048,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
14,Julie Rhodes (Julius Rosenberg) turns the Hi-Hat into a well-known jazz spot,1948,,"The Hi-Hat club, Columbus and Mass. Ave., becomes a well-known jazz spot thanks to Julie Rhodes (real name Julius Rosenberg), president and treasurer, who holds the ""secret of the barbecue sauce recipe"" [Vacca]. Says policeman John Sacco: ""The Hi-Hat was a great place. I used to love to go there. It was owned by the man who owned Uncle Ned's."" In the 1940s, Julius Rosenberg was president/treasurer of Uncle Ned's Loan Co., 1769 Washington St. near Northampton Station.",,"572 Columbus Avenue, Boston, MA",42.34071312,71.08115552,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
15,Hi-Hat has four-alarm fire,1959,3/10/1959,"A four-alarm, 3 a.m., fire closes the Hi-Hat club forever (another fire in Dec. 1955 fire caused extensive damage). The fire occurs during a snowstorm that makes fire-fighting hazardous; many neighbors have to vacate, and streets are closed [Vacca]. The fire was made all the more memorable for Linda Roberts, an 11-year-old Mass. Ave. girl, because the snowstorm kept her home from school that day.  ",,"572 Columbus Avenue, Boston, MA",42.34069656,71.08115952,"Alison Barnet, Once Upon a Neighborhood: A Timeline and Anecdotal History of the South End of Boston","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
16,"DJ ""Symphony Sid"" Torin live at the Hi-Hat",1952-1957,,"DJ ""Symphony Sid"" Torin broadcasts live from the Hi-Hat at the corner of Columbus and Mass. Aves. He calls it ""the Jazz Corner of Boston.""",,"572 Columbus Avenue, Boston, MA",42.34071193,71.08120593,"COOL ""MASS AVE"" JAZZ FACTS: Crosstown Jazz ","From Alison Barnet's book,_Once Upon a Neighborhood:_ A Timeline and Anecdotal History of the South End of Boston",,
17,World's First Two-Way telephone call,1876,,"Alexander Graham Bell must have soon become acquainted with his neighbors, the Walworths, because in 1876 the world's first two-way telephone call was held between the Walworth Manufacturing Company's Kilby Street offices downtown, and their plant in Cambridgeport two miles away, utilizing their existing telegraph line.",,"69 Kilby Street, Boston, MA",42.35753339,71.05513071,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
18,J. J. Walworth & Co. moves factory,1852,,"Caleb Walworth had followed his brother to Boston in 1848, joining Walworth & Nason as a machinist. In 1852, Joseph Nason moved to New York, and Walworth & Nason was dissolved. Caleb joined his brother as a partner in J. J. Walworth & Co., which was formed with a capital of $400,000. In that year, they moved their factory from Devonshire Street to Blake's Court in the South End (the site of today's Cathedral High School). By the late 1850's they had grown so much they added a second plant in Cambridgeport, and in 1882 they consolidated their operations and moved to South Boston, where they employed 800 hands. By the 1890's the value of their production reached $2,000,000 annually.  ",Cathedral High School,"74 Union Park St, Boston, MA 02118",42.34099279,71.06861175,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
19,Custom House Boston receives first mechanical venitlation system,1846,,"In short order, Walworth also invented the first mechanical, steam-driven ventilating fan. This new combination of efficient, reliable heat and fresh air was an immediate success, and the first large-scale application was in 1846 at the magnificent new United States Custom House in Boston, designed in the Greek Revival style by noted architect Ammi B. Young. ",Custom House ,"3 McKinley Square, Boston, MA 02109",42.35903695,71.05353363,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
20,Hotel Alexandra History,1872,4/17/1872,"On April 17, 1872 the site of the Alexandra was purchased by Caleb Clark Walworth,  a member of Boston's wealthy new class of businessmen who established their fortunes in manufacturing during the middle years of the nineteenth century.  With his brother James J. Walworth, he controlled a series of corporations that produced the first steam-heating systems in the world, a revolutionary system that James had invented. 

 

Caleb Walworth and his brother James were natives of Canaan, New Hampshire who had followed their fortunes to Boston.  James was the first to come to Boston, arriving in 1828 at the age of 20, working in the hardware business.  He married a Bostonian, Elizabeth Chickering Nason, and in June of 1841 founded a new business with Elizabeth's brother Joseph.  Starting in New York City, and almost immediately opening an office in Boston, Walworth & Nason expanded on the work of British inventor Angier M. Perkins, who had invented a hot water apparatus for the heating of buildings.  James Walworth's contribution was to adapt this wrought-iron tube apparatus to heat with steam, something that had never been done before. 

In short order, Walworth also invented the first mechanical, steam-driven ventilating fan.  This new combination of efficient, reliable heat and fresh air was an immediate success, and the first large-scale application was in 1846 at the magnificent new United States Custom House in Boston, designed in the Greek Revival style by noted architect Ammi B. Young. ",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33642093,71.07740666,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
21,Empty Site ,1874,,"The site of the Alexandra was a lot on the original Boston Neck that was never developed while the South End grew up around it. By 1874 it was a conspicuously empty corner on a major intersection, the other three corners being occupied by elegant row houses.  That block of Massachusetts Avenue was known during the nineteenth century as Chester Square (although the actual square was two blocks north of it), and had a pretty green mall with double rows of trees running down the center.  Across the mall was the Samuel Bowman house, a very large and elaborate brownstone-faced house with a rooftop observatory.  The history of the Hotel Alexandra itself, however, really begins with a family named Walworth, and their name is inextricably linked with it. ",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.3363992,71.07744687,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
22,Construction of the Hotel Alexandra,1874,,"The Walworth Manufacturing Company, which had been organized in 1872, survived the great financial ""Panic of 1873"" due in large part to Caleb Walworth's guidance. By 1874 Caleb was in such a strong financial position he undertook to build on his recently purchased corner lot on Washington Street, and by September of 1875 the ""Hotel Alexandra"" was completed.

Why Caleb Walworth chose to build a residential ""hotel"" is not known today, but it must have appeared at the time to be a good investment in a form of housing that was just becoming popular. ""French flats"", as they were also known at the time, were still a fairly novel new form of urban housing.  Living in an apartment that occupied all or part of only one floor of a building had been made technologically possible by the recent invention of the elevator. The St. Cloud on Tremont Street, designed by Nathaniel J. Bradlee and completed in 1869 was one of the first of the South End's exclusively residential hotels, and by 1875 there were still only a small number in Boston. Some, like the very large Commonwealth Hotel on Washington Street (between West Springfield and Worcester Streets) also served as hotels in the modern sense, offering temporary lodging to out-of-town visitors.

The Alexandra was conceived, like the St. Cloud, as an exclusively residential hotel on a small scale. Like the St. Cloud, it had two commercial spaces at the street level that flanked the residential entrance. The similarity to the St. Cloud continued on the upper floors, where each of the four upper floors was divided into two apartments. The difference was that in the St. Cloud each apartment ran from front to back, while at the Alexandra one apartment stretched across the front of the building, while the other occupied the entire rear.

In its exterior design the Alexandra was a forward-looking building designed in the new polychromatic Ruskinian Gothic style, while the earlier St. Cloud reflected the more conservative French Second Empire tradition that was beginning to lose favor by 1875. Extensive research has not yet uncovered the architect of the Alexandra, but its Ruskinian Gothic style it is very similar to that of the Berwick Hotel built later on Columbus Avenue (on the site of the empty parking lot adjacent to ""Charlie's Sandwich Shop"" and Holyoke Street), and the Albemarle Hotel, which survives today at the corner of Columbus Avenue and Clarendon Streets as low-income housing.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33641274,71.07747115,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
23,Hotel Alexandra Opens,1875,10/1875,The Hotel Alexandra opened commercial spaces on each side of the residential entrance and two residential suites on each of the four floors above.,Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33651999,71.07758969,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI0,,
24,Boston Transcript advertisement for the Hotel Alexandra,1875,09/15/1875,"The original advertisement for the apartments in the Hotel Alexandra appeared in the Boston Transcript on September 15, 1875.  The name ""Alexandra"" was emphasized in bold face type, and undoubtedly refers to Princess Alexandra of England, then the wife of the Prince of Wales, who was later to become King Edward VII after the death of his mother Queen Victoria in 1901.  The Walworths were proud anglophiles who made it clear to all who knew them that they were descended from Sir William Walworth, lord mayor of London during the reign of King Richard II in the fourteenth century.   

 

The name Alexandra  was certainly meant to establish an aristocratic tone for the new building.  The advertisement makes it clear that the Walworths backed this royal name up with the latest amenities, including their own steam heating system: 

 

""Alexandra""   

Corner Washington Street and Chester Square.  Suites for families in the new and elegant building now being finished in the most thorough and first-class manner; eight rooms to each unit, with steam heat, bathing rooms, passenger elevator, etc., making it the most desirable for location and comfort in the city.  Parties desiring this popular mode of housekeeping should apply at once, as several suites are already leased.""

The elevator was actually not as convenient a feature as it first appeared.  One had to ascend the marble stairs from the street level entrance to the second floor to reach it, but from there it ran to the top floor.  It had a handsome cab with glass and burled walnut panels, with a bench across the back providing seating for the slow trip up, for it relied upon city water pressure driving an ingenious system of pulleys actuated by a cylinder in the basement that ran horizontally out to the city water main. ",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33649256,71.07752015,"Written by John Neale, Historian for the South End Historical Society",https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Hotel%20Alexandra%20-%20History%20John%20Neale.docx?d=w7ac2389c9a9647209da27b735674f9b5&csf=1&web=1&e=hmd6Uf,,
25,Opening of Alexandra Hotel,1875,,"The Alexandra Hotel opened at the corner of Washington Street and on the then Chester Square (now Massachusetts Avenue).  Its location at the ""gateway"" to Boston drew many visitors and local residents for ""society events and meetings.""",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33656345,71.07766555,The Chester Square Area Neighborhood Association Report (12/2014),https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Larievy%20Lindquist%20REPORT%203%20Dec%202014.docx?d=wc4478309f2c6462ea2fbbd6e447a6515&csf=1&web=1&e=glSaUc,,
26,Hotel Alexandra site is purchased,2008,,Church of Scientology purchases The Alexandra and proposes restoration for its world headquarters,Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33648705,71.07760486,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI3,,
27,The Church of Scientology purchased Alexandra Hotel,2008,,The Church of Scientology undertook the renovation of Alexandra Hotel. They purchased both the Alexandra Hotel and the adjoining 4-story brownstone the with the intention of reconverting it as their New England Headquarters. The Church of Scientology initially indicated that the sale of the former Beacon Street Headquarters would fund the development of the Alexandra.,Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33657888,71.07765891,The Chester Square Area Neighborhood Association Report (12/2014),https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Larievy%20Lindquist%20REPORT%203%20Dec%202014.docx?d=wc4478309f2c6462ea2fbbd6e447a6515&csf=1&web=1&e=glSaUc,,
28,The renovation faced challenge,2011,,"The adjoining building to Alexandra Hotel started to crumble and portions fell onto the sidewalk below. Subsequently, the building was torn down leaving an empty lot and enclosed by a cyclone fence.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33651298,71.07751382,The Chester Square Area Neighborhood Association Report (12/2014),https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Larievy%20Lindquist%20REPORT%203%20Dec%202014.docx?d=wc4478309f2c6462ea2fbbd6e447a6515&csf=1&web=1&e=glSaUc,,
29,Neighborhood concern for Alexandra site grows,2014,,"Chester Square Neighbors reach out to Church of Scientology, asking for progress on maintenance and restoration.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33648004,71.07752141,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI4,,
30,The questions were raised by community members regarding the renovation due to the lack of progress,2014,,"The Chester Square Area Neighborhood Association (CSANA) inquired the Church of Scientology in March about the status of the development process and the expected timelines. The CSANA did not receive response. During the summer, the Courant, South End News and Boston Globe reported on the lack of progress of the rehabilitation of the Alexandra and financial issues within the Scientologists Community. CSANA received a request to appear before the October  meeting by the church. The attorney for the Scientologists and a representative from the church gave an overview of progress to date and then asked for support in the zoning change. In turn, they answered questions and addressed concerns by the Association members. They assured CSANA that all the concerns identified, including the outside maintenance and safety issues, would be corrected immediately. However, no action was taken. Later, the church revealed their challenges in funding and they also were in the middle of legal dispute for breaking a lease in the South Bay area.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33654593,71.07761719,The Chester Square Area Neighborhood Association Report (12/2014),https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Larievy%20Lindquist%20REPORT%203%20Dec%202014.docx?d=wc4478309f2c6462ea2fbbd6e447a6515&csf=1&web=1&e=glSaUc,,
31,The hotel site became a ruin and a safety issue for nearby residents,2014,,"The Hotel was in disrepair and the windows, with the exception of one, are all boarded with plywood. The first floor was tenanted by a Hair product business and is owned and operated by a company in New Jersey. Trash and delivery refuse were continually piled outside the building on the sidewalk, making passage difficult to pedestrians and commuters at the MBTA Silverline inbound stop. The adjoining empty lot at 1767-1769 Washington Street was surrounded by a cyclone fence, the back of which was open.  There was a dumpster to one side with refuse, debris and hypodermic needles strewn through out. Additionally, feral cats and vermin were sighted on the lot. The area was located very close to residential buildings located both on Washington and Northampton Streets. Area residents and community members have expressed their concerns about the safety and maintenance of the building, sidewalk and surrounding area. Debris and trash were not cleaned, sidewalks were cluttered with trash, litter, boxes and large delivery palates, fencing was not secured, and sidewalks are not adequately cleared of snow and ice making passage very difficult for residents, pedestrians, commuters and especially the elderly and handicapped and who live around the corner on Northampton Street.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.3365228,71.07765133,The Chester Square Area Neighborhood Association Report (12/2014),https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/Larievy%20Lindquist%20REPORT%203%20Dec%202014.docx?d=wc4478309f2c6462ea2fbbd6e447a6515&csf=1&web=1&e=glSaUc,,
32,Chester Square Neighbors envision a boutique hotel. ,2015,,Chester Square Neighbors asks BPDA for help to get the Alexandra restored.,Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33657187,71.077639,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI5,,
33,Alexandra envisioned as apartments,2017,,Eric Hoagland proposes building 20 stories of apartments,Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33644008,71.07746167,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI6,,
34,Informal development meeting for the future of the Alexandra site,2018,7/10/2018,"In an informal presentation to neighborhood leaders JB Ventures and TCR Development, with CBT Architects share renderings for a boutique hotel, adding 4 stories to the existing 5-story building.",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33649896,71.07757451,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI7,,
35,Letter of Intent - Alexandra Site,2018,7/25/2018,"JB Ventures and TCR Development propose to construct a building behind the facade, approximately 10 stories high to accommodate a ""flag"" hotel (150 guest rooms, about 60,000 sf).",Hotel Alexandra,"1767 Washington Street, Boston, MA 02118",42.33646381,71.07752552,Mass Ave Coalition,https://northeastern-my.sharepoint.com/:w:/r/personal/velloreumashankar_y_northeastern_edu/Documents/INAM5983%20Interdisciplinary%20Special%20Topics%20-%20Mass%20Ave%20Coalition/History/Alexandra%20History/A%20long%20view.docx?d=w925855d742f349499b9eefef652d6666&csf=1&web=1&e=HDdOI8,,
